entity_id,entity_class,entity_status,tenure_days,job_function,department,peer_group_id,last_active_days,contract_end_date,deployed_by,parent_identity,agent_purpose,agent_type,access_review_outcome,incident_flag,offboarding_cleanup_flag
ent_js006,human,active,891,Controller,Finance,PG-FIN,0,,,,,,APPROVE,1,0
ent_rw003,human,active,612,AP Specialist,Finance,PG-FIN,1,,,,,,NOT_REVIEWED,0,0
ent_kl004,human,active,580,AP Specialist,Finance,PG-FIN,0,,,,,,NOT_REVIEWED,0,0
ent_tm005,human,active,730,Finance Manager,Finance,PG-FIN,0,,,,,,NOT_REVIEWED,0,0
ent_ar007,external,active,547,Contractor / UX Design,External,PG-EXT,34,2023-08-15,,,,,NOT_REVIEWED,0,1
agt_copilot_fin_01,ai_agent,active,61,AP Automation,Finance,AGT-FIN,0,,ent_cfo001,,Automate AP invoice processing and financial reporting,Microsoft Copilot,NOT_REVIEWED,0,0
agt_rpa_ops_07,rpa_bot,active,203,Onboarding Bot,Operations,AGT-ENG,0,,ent_it_mgr_02,ent_it_mgr_02,Automate employee onboarding - provision access for new hires,UiPath RPA,NOT_REVIEWED,0,0
agt_unknown_003,ai_agent,active,34,UNKNOWN,Unknown,AGT-UNK,0,,,,,,NOT_REVIEWED,1,0
ent_cfo001,human,active,1200,CFO,Finance,PG-FIN,0,,,,,,APPROVE,0,0
ent_eng001,human,active,950,VP Engineering,Engineering,PG-ENG,0,,,,,,APPROVE,0,0
ent_hr001,human,active,800,HR Director,Operations,PG-OPS,1,,,,,,APPROVE,0,0
ent_it001,human,active,700,IT Administrator,Operations,PG-OPS,0,,,,,,APPROVE,0,0
ent_it_mgr_02,human,active,650,IT Manager,Operations,PG-OPS,0,,,,,,APPROVE,0,0
ent_bg_000,human,active,507,Payroll Specialist,Finance,PG-FIN,13,,,,,,APPROVE,0,0
ent_bg_001,human,active,975,Audit Analyst,Finance,PG-FIN,27,,,,,,APPROVE,0,0
ent_bg_002,human,active,212,Finance Analyst,Finance,PG-FIN,11,,,,,,APPROVE,0,0
ent_bg_003,human,active,198,Financial Controller,Finance,PG-FIN,14,,,,,,APPROVE,0,0
ent_bg_004,human,active,949,Finance Analyst,Finance,PG-FIN,9,,,,,,APPROVE,0,0
ent_bg_005,human,active,729,Finance Analyst,Finance,PG-FIN,20,,,,,,APPROVE,0,0
ent_bg_006,human,active,321,Accountant,Finance,PG-FIN,18,,,,,,APPROVE,0,0
ent_bg_007,human,active,526,Accountant,Finance,PG-FIN,24,,,,,,APPROVE,0,0
ent_bg_008,human,active,1052,AP Specialist,Finance,PG-FIN,22,,,,,,APPROVE,0,0
ent_bg_009,human,active,287,Finance Analyst,Finance,PG-FIN,25,,,,,,APPROVE,0,0
ent_bg_010,human,active,978,Audit Analyst,Finance,PG-FIN,29,,,,,,APPROVE,0,0
ent_bg_011,human,active,1050,Finance Analyst,Finance,PG-FIN,4,,,,,,APPROVE,0,0
ent_bg_012,human,active,1078,AP Specialist,Finance,PG-FIN,4,,,,,,APPROVE,0,0
ent_bg_013,human,active,943,Tax Analyst,Finance,PG-FIN,26,,,,,,APPROVE,0,0
ent_bg_014,human,active,98,Tax Analyst,Finance,PG-FIN,28,,,,,,APPROVE,0,0
ent_bg_015,human,active,692,Audit Analyst,Finance,PG-FIN,25,,,,,,APPROVE,0,0
ent_bg_016,human,active,1191,Financial Controller,Finance,PG-FIN,9,,,,,,APPROVE,0,0
ent_bg_017,human,active,369,Accountant,Finance,PG-FIN,22,,,,,,APPROVE,0,0
ent_bg_018,human,active,1060,Frontend Developer,Engineering,PG-ENG,5,,,,,,APPROVE,0,0
ent_bg_019,human,active,682,Security Engineer,Engineering,PG-ENG,9,,,,,,APPROVE,0,0
ent_bg_020,human,active,351,Frontend Developer,Engineering,PG-ENG,5,,,,,,APPROVE,0,0
ent_bg_021,human,active,984,QA Engineer,Engineering,PG-ENG,11,,,,,,APPROVE,0,0
ent_bg_022,human,active,530,DevOps Engineer,Engineering,PG-ENG,21,,,,,,APPROVE,0,0
ent_bg_023,human,active,286,Backend Developer,Engineering,PG-ENG,4,,,,,,APPROVE,0,0
ent_bg_024,human,active,1150,Data Engineer,Engineering,PG-ENG,29,,,,,,APPROVE,0,0
ent_bg_025,human,active,333,ML Engineer,Engineering,PG-ENG,10,,,,,,APPROVE,0,0
ent_bg_026,human,active,946,Platform Engineer,Engineering,PG-ENG,12,,,,,,APPROVE,0,0
ent_bg_027,human,active,860,Security Engineer,Engineering,PG-ENG,26,,,,,,APPROVE,0,0
ent_bg_028,human,active,1095,Platform Engineer,Engineering,PG-ENG,7,,,,,,APPROVE,0,0
ent_bg_029,human,active,526,Data Engineer,Engineering,PG-ENG,9,,,,,,APPROVE,0,0
ent_bg_030,human,active,408,Platform Engineer,Engineering,PG-ENG,4,,,,,,APPROVE,0,0
ent_bg_031,human,active,1160,Security Engineer,Engineering,PG-ENG,1,,,,,,APPROVE,0,0
ent_bg_032,human,active,99,ML Engineer,Engineering,PG-ENG,28,,,,,,APPROVE,0,0
ent_bg_033,human,active,1097,Software Engineer,Engineering,PG-ENG,30,,,,,,APPROVE,0,0
ent_bg_034,human,active,745,ML Engineer,Engineering,PG-ENG,15,,,,,,APPROVE,0,0
ent_bg_035,human,active,403,DevOps Engineer,Engineering,PG-ENG,6,,,,,,APPROVE,0,0
ent_bg_036,human,active,681,ML Engineer,Engineering,PG-ENG,19,,,,,,APPROVE,0,0
ent_bg_037,human,active,1011,QA Engineer,Engineering,PG-ENG,27,,,,,,APPROVE,0,0
ent_bg_038,human,active,650,Platform Engineer,Engineering,PG-ENG,16,,,,,,APPROVE,0,0
ent_bg_039,human,active,1199,Backend Developer,Engineering,PG-ENG,3,,,,,,APPROVE,0,0
ent_bg_040,human,active,198,QA Engineer,Engineering,PG-ENG,16,,,,,,APPROVE,0,0
ent_bg_041,human,active,247,Software Engineer,Engineering,PG-ENG,30,,,,,,APPROVE,0,0
ent_bg_042,human,active,541,Platform Engineer,Engineering,PG-ENG,10,,,,,,APPROVE,0,0
ent_bg_043,human,active,143,QA Engineer,Engineering,PG-ENG,29,,,,,,APPROVE,0,0
ent_bg_044,human,active,381,Frontend Developer,Engineering,PG-ENG,19,,,,,,APPROVE,0,0
ent_bg_045,human,active,1195,Frontend Developer,Engineering,PG-ENG,11,,,,,,APPROVE,0,0
ent_bg_046,human,active,1123,Platform Engineer,Engineering,PG-ENG,4,,,,,,APPROVE,0,0
